Team,RY(O),R(O),PY(O),R(O),TY(O),R(O),RY(D),R(D),PY(D),R(D),TY(D),R(D),TO,PF,PA,SU,ATS
ARI,118.2,12,192.4,26,310.6,25,118.2,19,192.4,4,310.6,7,0.0,103,96,2-3,2-3-0
ATL,136.5,6,236.8,13,373.2,6,136.5,25,236.8,17,373.2,26,0.3,76,86,2-2,2-2-0
BAL,115.6,16,220.0,17,335.6,21,115.6,15,220.0,13,335.6,11,-1.0,141,177,1-4,1-4-0
BUF,154.4,2,249.8,10,404.2,3,154.4,29,249.8,20,404.2,29,0.2,153,113,4-1,2-3-0
CAR,128.0,10,201.8,23,329.8,23,128.0,21,201.8,7,329.8,9,-0.6,102,119,2-3,3-2-0
CHI,102.2,23,238.5,11,340.8,18,102.2,8,238.5,19,340.8,14,1.3,101,117,2-2,2-2-0
CIN,57.0,30,189.2,27,246.2,31,57.0,1,189.2,3,246.2,1,-1.0,85,156,2-3,1-4-0
CLE,95.8,25,204.8,22,300.6,26,95.8,6,204.8,8,300.6,6,-0.8,73,123,1-4,2-3-0
DAL,134.4,8,279.4,3,413.8,1,134.4,23,279.4,27,413.8,31,-0.6,151,154,2-2-1,3-2-0
DEN,140.6,4,220.6,16,361.2,13,140.6,27,220.6,14,361.2,19,-0.4,117,84,3-2,2-3-0
DET,134.8,7,238.0,12,372.8,7,134.8,24,238.0,18,372.8,25,1.2,174,112,4-1,4-1-0
GB,114.5,17,250.0,9,364.5,11,114.5,14,250.0,21,364.5,21,0.0,104,84,2-1-1,2-2-0
HOU,116.2,15,219.8,18,336.0,20,116.2,16,219.8,12,336.0,12,0.2,108,61,2-3,2-3-0
IND,128.2,9,259.8,4,388.0,4,128.2,22,259.8,26,388.0,28,1.0,163,89,4-1,4-1-0
JAX,137.0,5,213.2,19,350.2,14,137.0,26,213.2,11,350.2,18,1.6,127,100,4-1,4-1-0
KC,120.0,11,251.4,8,371.4,8,120.0,20,251.4,22,371.4,24,0.8,125,107,2-3,2-3-0
LA,112.2,20,300.6,1,412.8,2,112.2,11,300.6,29,412.8,30,0.2,123,107,3-2,3-2-0
LAC,116.8,14,254.6,6,371.4,8,116.8,17,254.6,24,371.4,24,-0.6,98,98,3-2,3-2-0
LV,112.6,19,235.2,14,347.8,15,112.6,12,235.2,16,347.8,17,-1.2,83,139,1-4,1-4-0
MIA,82.2,28,208.0,20,290.2,27,82.2,3,208.0,10,290.2,5,0.0,107,145,1-4,2-3-0
MIN,106.8,22,224.2,15,331.0,22,106.8,9,224.2,15,331.0,10,-0.4,123,97,3-2,3-2-0
NE,95.2,26,252.2,7,347.4,16,95.2,5,252.2,23,347.4,16,-0.2,125,101,3-2,3-2-0
NO,116.8,14,201.8,23,318.6,24,116.8,17,201.8,7,318.6,8,1.0,92,135,1-4,2-3-0
NYG,117.0,13,219.8,18,336.8,19,117.0,18,219.8,12,336.8,13,-0.5,87,127,1-4,2-3-0
NYJ,144.4,3,201.4,24,345.8,17,144.4,28,201.4,6,345.8,15,-1.6,112,157,0-5,2-3-0
PHI,99.8,24,177.8,28,277.6,29,99.8,7,177.8,2,277.6,3,0.3,125,109,4-1,3-2-0
PIT,80.0,29,199.5,25,279.5,28,80.0,2,199.5,5,279.5,4,1.8,96,98,3-1,2-2-0
SEA,113.0,18,252.2,7,365.2,10,113.0,13,252.2,23,365.2,22,-0.2,146,105,3-2,3-2-0
SF,85.2,27,298.2,2,383.4,5,85.2,4,298.2,28,383.4,27,-0.6,106,98,4-1,3-2-0
TB,110.4,21,256.6,5,367.0,9,110.4,10,256.6,25,367.0,23,0.4,135,132,4-1,3-2-0
TEN,85.2,27,175.8,29,261.0,30,85.2,4,175.8,1,261.0,2,0.2,73,141,1-4,2-3-0
WAS,156.4,1,205.4,21,361.8,12,156.4,30,205.4,9,361.8,20,0.0,134,101,3-2,3-2-0
