ts_utc	ok_cfb	ok_nfl	sec_cfb	sec_nfl
2025-10-22T04:25:30.907712Z	1	1	67.04	12.11
2025-10-22T04:31:56.319200Z	1	0	69.36	9.34
2025-10-22T04:45:06.600446Z	1	0	65.85	8.64
2025-10-22T04:48:24.794306Z	1	0	65.23	8.73
2025-10-22T04:57:41.958094Z	1	1	64.41	11.35
2025-10-22T05:01:18.039068Z	1	1	67.85	11.68
2025-10-22T23:19:19.829937Z	1	0	74.72	12.72
2025-11-04T07:33:52.298628Z	0	0	46.36	13.10
2025-11-04T07:54:42.910501Z	0	0	45.91	12.43
2025-11-04T07:55:54.430162Z	0	0	47.80	12.57
2025-11-04T08:15:37.008215Z	0	1	100.93	14.23
2025-11-04T08:19:03.071126Z	1	1	109.28	13.70
2025-11-04T08:21:25.154981Z	1	1	112.65	13.29
2025-11-04T08:41:52.736972Z	1	1	102.73	12.80
2025-11-04T08:45:31.313268Z	1	1	103.49	12.62
2025-11-05T02:11:08.586323Z	1	1	90.66	12.78
2025-11-05T02:16:38.146359Z	1	1	88.55	12.11
